avere haben
essere sein
diventare werden
dovere sollen
sagen dire
dare geben
venire kommen
volere wollen
fare machen
andare gehen
chiamare heißen
sapere wissen
vedere sehen
trovare finden
rimanere bleiben
piacere mögen
potere dürfen
guidare fahren
potere können
dovere müssen
lasciare lassen
pensare denken
fermarsi halten
studiare studieren
aiutare heffen
iniziare anfangen
perdere verliren
iniziare anfangen
offrire bieten
raffigurare stellen
mangiare essen
piacere gern
cercare suchen
